Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 10.679920753, Service: 2, Service Name: Difference Frame, Request: 32, DONE, Request Elapsed Time: 0.005335759
Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 11.012894104, Service: 2, Service Name: Difference Frame, Request: 33, DONE, Request Elapsed Time: 0.005096815
Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 11.359164585, Service: 2, Service Name: Difference Frame, Request: 34, DONE, Request Elapsed Time: 0.010272723
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 11.679977104, Service: 2, Service Name: Difference Frame, Request: 35, DONE, Request Elapsed Time: 0.005443815
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 12.012904955, Service: 2, Service Name: Difference Frame, Request: 36, DONE, Request Elapsed Time: 0.005127445
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 12.359379844, Service: 2, Service Name: Difference Frame, Request: 37, DONE, Request Elapsed Time: 0.010502593
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 12.697309492, Service: 2, Service Name: Difference Frame, Request: 38, DONE, Request Elapsed Time: 0.012318500
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 13.030421214, Service: 2, Service Name: Difference Frame, Request: 39, DONE, Request Elapsed Time: 0.012356259
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 13.362381010, Service: 2, Service Name: Difference Frame, Request: 40, DONE, Request Elapsed Time: 0.010791796
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 13.693126714, Service: 2, Service Name: Difference Frame, Request: 41, DONE, Request Elapsed Time: 0.010281593
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 14.029961232, Service: 2, Service Name: Difference Frame, Request: 42, DONE, Request Elapsed Time: 0.011904000
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 2, Elapsed: 14.363452287, Service: 2, Service Name: Difference Frame, Request: 43, DONE, Request Elapsed Time: 0.011891556
