Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 10.674455901, Service: 1, Service Name: Capture Frame, Request: 32, DONE, Request Elapsed Time: 0.007482444
Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 11.007689826, Service: 1, Service Name: Capture Frame, Request: 33, DONE, Request Elapsed Time: 0.007392000
Jun  8 17:45:52 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 11.348700660, Service: 1, Service Name: Capture Frame, Request: 34, DONE, Request Elapsed Time: 0.014913907
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 11.674414011, Service: 1, Service Name: Capture Frame, Request: 35, DONE, Request Elapsed Time: 0.007421463
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 12.007668789, Service: 1, Service Name: Capture Frame, Request: 36, DONE, Request Elapsed Time: 0.007349166
Jun  8 17:45:53 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 12.348680548, Service: 1, Service Name: Capture Frame, Request: 37, DONE, Request Elapsed Time: 0.014897315
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 12.684761288, Service: 1, Service Name: Capture Frame, Request: 38, DONE, Request Elapsed Time: 0.017569389
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 13.017839677, Service: 1, Service Name: Capture Frame, Request: 39, DONE, Request Elapsed Time: 0.017329371
Jun  8 17:45:54 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 13.351365066, Service: 1, Service Name: Capture Frame, Request: 40, DONE, Request Elapsed Time: 0.017431518
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 13.682654214, Service: 1, Service Name: Capture Frame, Request: 41, DONE, Request Elapsed Time: 0.015477871
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 14.017838584, Service: 1, Service Name: Capture Frame, Request: 42, DONE, Request Elapsed Time: 0.017328389
Jun  8 17:45:55 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 14.351348880, Service: 1, Service Name: Capture Frame, Request: 43, DONE, Request Elapsed Time: 0.017291055
Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 14.685498954, Service: 1, Service Name: Capture Frame, Request: 44, DONE, Request Elapsed Time: 0.018203797
Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 15.007813046, Service: 1, Service Name: Capture Frame, Request: 45, DONE, Request Elapsed Time: 0.007460722
Jun  8 17:45:56 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 15.341130028, Service: 1, Service Name: Capture Frame, Request: 46, DONE, Request Elapsed Time: 0.007435500
Jun  8 17:45:57 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 15.684521824, Service: 1, Service Name: Capture Frame, Request: 47, DONE, Request Elapsed Time: 0.017319815
Jun  8 17:45:57 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 16.012146601, Service: 1, Service Name: Capture Frame, Request: 48, DONE, Request Elapsed Time: 0.011709741
Jun  8 17:45:57 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 16.348713231, Service: 1, Service Name: Capture Frame, Request: 49, DONE, Request Elapsed Time: 0.014875797
Jun  8 17:45:58 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 16.678072897, Service: 1, Service Name: Capture Frame, Request: 50, DONE, Request Elapsed Time: 0.010951130
Jun  8 17:45:58 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 17.007733990, Service: 1, Service Name: Capture Frame, Request: 51, DONE, Request Elapsed Time: 0.007356926
Jun  8 17:45:58 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 17.341105156, Service: 1, Service Name: Capture Frame, Request: 52, DONE, Request Elapsed Time: 0.007389463
Jun  8 17:45:59 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 17.682962322, Service: 1, Service Name: Capture Frame, Request: 53, DONE, Request Elapsed Time: 0.015767908
Jun  8 17:45:59 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 18.015542230, Service: 1, Service Name: Capture Frame, Request: 54, DONE, Request Elapsed Time: 0.015010963
Jun  8 17:45:59 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 18.351238600, Service: 1, Service Name: Capture Frame, Request: 55, DONE, Request Elapsed Time: 0.017325408
Jun  8 17:46:00 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 18.684376526, Service: 1, Service Name: Capture Frame, Request: 56, DONE, Request Elapsed Time: 0.017136944
Jun  8 17:46:00 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 19.012251359, Service: 1, Service Name: Capture Frame, Request: 57, DONE, Request Elapsed Time: 0.011765685
Jun  8 17:46:00 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 19.351328710, Service: 1, Service Name: Capture Frame, Request: 58, DONE, Request Elapsed Time: 0.017404871
Jun  8 17:46:01 raspberrypi [REAL TIMELY]: CPU: 3, Priority: 1, Elapsed: 19.684612969, Service: 1, Service Name: Capture Frame, Request: 59, DONE, Request Elapsed Time: 0.017360333
